,County,Total,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $24,999","    $25,000 to $34,999","    $35,000 to $49,999","    $50,000 to $74,999","    $75,000 to $99,999","    $100,000 to $149,999","    $150,000 to $199,999","    $200,000 or more",Median income (dollars),Mean income (dollars),    Household income in the past 12 months,    Family income in the past 12 months,    Nonfamily income in the past 12 months,Fiscal Year,Region,Type of Allegation,Allegation Count
470,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2019.0,6-Houston,Medical Neglect,156.0
471,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2019.0,6-Houston,Neglectful Supervision,1541.0
472,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2019.0,6-Houston,Physical Abuse,588.0
473,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2019.0,6-Houston,Physical Neglect,234.0
474,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2019.0,6-Houston,Refusal To Accept Parental Responsibility,15.0
475,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2019.0,6-Houston,Sex Trafficking,5.0
476,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2019.0,6-Houston,Sexual Abuse,573.0
477,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2018.0,6-Houston,Abandonment,2.0
478,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2018.0,6-Houston,Emotional Abuse,100.0
479,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2018.0,6-Houston,Medical Neglect,147.0
480,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2018.0,6-Houston,Neglectful Supervision,1722.0
481,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2018.0,6-Houston,Physical Abuse,742.0
482,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2018.0,6-Houston,Physical Neglect,249.0
483,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2018.0,6-Houston,Refusal To Accept Parental Responsibility,17.0
484,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2018.0,6-Houston,Sex Trafficking,4.0
485,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2018.0,6-Houston,Sexual Abuse,584.0
486,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2017.0,6-Houston,Emotional Abuse,100.0
487,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2017.0,6-Houston,Labor Trafficking,3.0
488,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2017.0,6-Houston,Medical Neglect,180.0
489,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2017.0,6-Houston,Neglectful Supervision,1992.0
490,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2017.0,6-Houston,Physical Abuse,990.0
491,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2017.0,6-Houston,Physical Neglect,403.0
492,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2017.0,6-Houston,Refusal To Accept Parental Responsibility,13.0
493,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2017.0,6-Houston,Sex Trafficking,4.0
494,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2017.0,6-Houston,Sexual Abuse,622.0
495,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2016.0,6-Houston,Abandonment,7.0
496,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2016.0,6-Houston,Emotional Abuse,92.0
497,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2016.0,6-Houston,Medical Neglect,164.0
498,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2016.0,6-Houston,Neglectful Supervision,1708.0
499,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2016.0,6-Houston,Physical Abuse,868.0
500,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2016.0,6-Houston,Physical Neglect,421.0
501,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2016.0,6-Houston,Refusal To Accept Parental Responsibility,28.0
502,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2016.0,6-Houston,Sex Trafficking,2.0
503,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2016.0,6-Houston,Sexual Abuse,635.0
504,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2015.0,6-Houston,Abandonment,4.0
505,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2015.0,6-Houston,Emotional Abuse,57.0
506,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2015.0,6-Houston,Medical Neglect,192.0
507,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2015.0,6-Houston,Neglectful Supervision,1844.0
508,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2015.0,6-Houston,Physical Abuse,894.0
509,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2015.0,6-Houston,Physical Neglect,474.0
510,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2015.0,6-Houston,Refusal To Accept Parental Responsibility,15.0
511,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2015.0,6-Houston,Sexual Abuse,573.0
512,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2014.0,6-Houston,Abandonment,4.0
513,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2014.0,6-Houston,Emotional Abuse,90.0
514,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2014.0,6-Houston,Medical Neglect,176.0
515,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2014.0,6-Houston,Neglectful Supervision,1625.0
516,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2014.0,6-Houston,Physical Abuse,844.0
517,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2014.0,6-Houston,Physical Neglect,424.0
518,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2014.0,6-Houston,Refusal To Accept Parental Responsibility,9.0
519,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2014.0,6-Houston,Sexual Abuse,502.0
520,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2013.0,6-Houston,Abandonment,2.0
521,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2013.0,6-Houston,Emotional Abuse,76.0
522,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2013.0,6-Houston,Medical Neglect,134.0
523,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2013.0,6-Houston,Neglectful Supervision,1366.0
524,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2013.0,6-Houston,Physical Abuse,737.0
525,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2013.0,6-Houston,Physical Neglect,304.0
526,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2013.0,6-Houston,Refusal To Accept Parental Responsibility,8.0
527,Brazoria,"133,871",3.7%,2.1%,5.9%,5.7%,8.7%,16.9%,14.0%,18.1%,12.0%,12.9%,"86,083","109,010",36.0%,(X),(X),2013.0,6-Houston,Sexual Abuse,472.0
528,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2022.0,7-Austin,Emotional Abuse,58.0
529,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2022.0,7-Austin,Medical Neglect,70.0
530,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2022.0,7-Austin,Neglectful Supervision,1432.0
531,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2022.0,7-Austin,Physical Abuse,419.0
532,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2022.0,7-Austin,Physical Neglect,137.0
533,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2022.0,7-Austin,Refusal To Accept Parental Responsibility,17.0
534,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2022.0,7-Austin,Sex Trafficking,7.0
535,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2022.0,7-Austin,Sexual Abuse,349.0
536,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2021.0,7-Austin,Abandonment,5.0
537,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2021.0,7-Austin,Emotional Abuse,47.0
538,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2021.0,7-Austin,Medical Neglect,60.0
539,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2021.0,7-Austin,Neglectful Supervision,1328.0
540,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2021.0,7-Austin,Physical Abuse,381.0
541,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2021.0,7-Austin,Physical Neglect,121.0
542,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2021.0,7-Austin,Refusal To Accept Parental Responsibility,18.0
543,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2021.0,7-Austin,Sex Trafficking,5.0
544,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2021.0,7-Austin,Sexual Abuse,313.0
545,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2020.0,7-Austin,Abandonment,7.0
546,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2020.0,7-Austin,Emotional Abuse,36.0
547,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2020.0,7-Austin,Medical Neglect,46.0
548,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2020.0,7-Austin,Neglectful Supervision,1086.0
549,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2020.0,7-Austin,Physical Abuse,292.0
550,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2020.0,7-Austin,Physical Neglect,120.0
551,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2020.0,7-Austin,Refusal To Accept Parental Responsibility,18.0
552,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2020.0,7-Austin,Sex Trafficking,2.0
553,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2020.0,7-Austin,Sexual Abuse,260.0
554,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2019.0,7-Austin,Abandonment,1.0
555,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2019.0,7-Austin,Emotional Abuse,38.0
556,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2019.0,7-Austin,Medical Neglect,76.0
557,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2019.0,7-Austin,Neglectful Supervision,1138.0
558,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2019.0,7-Austin,Physical Abuse,377.0
559,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2019.0,7-Austin,Physical Neglect,155.0
560,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2019.0,7-Austin,Refusal To Accept Parental Responsibility,7.0
561,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2019.0,7-Austin,Sex Trafficking,2.0
562,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2019.0,7-Austin,Sexual Abuse,335.0
563,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2018.0,7-Austin,Abandonment,2.0
564,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2018.0,7-Austin,Emotional Abuse,41.0
565,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2018.0,7-Austin,Medical Neglect,61.0
566,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2018.0,7-Austin,Neglectful Supervision,1043.0
567,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2018.0,7-Austin,Physical Abuse,380.0
568,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2018.0,7-Austin,Physical Neglect,168.0
569,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2018.0,7-Austin,Refusal To Accept Parental Responsibility,11.0
570,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2018.0,7-Austin,Sex Trafficking,8.0
571,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2018.0,7-Austin,Sexual Abuse,368.0
572,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2017.0,7-Austin,Abandonment,2.0
573,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2017.0,7-Austin,Emotional Abuse,30.0
574,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2017.0,7-Austin,Medical Neglect,69.0
575,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2017.0,7-Austin,Neglectful Supervision,1142.0
576,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2017.0,7-Austin,Physical Abuse,472.0
577,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2017.0,7-Austin,Physical Neglect,211.0
578,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2017.0,7-Austin,Refusal To Accept Parental Responsibility,6.0
579,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2017.0,7-Austin,Sex Trafficking,6.0
580,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2017.0,7-Austin,Sexual Abuse,394.0
581,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2016.0,7-Austin,Abandonment,4.0
582,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2016.0,7-Austin,Emotional Abuse,25.0
583,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2016.0,7-Austin,Medical Neglect,73.0
584,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2016.0,7-Austin,Neglectful Supervision,901.0
585,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2016.0,7-Austin,Physical Abuse,399.0
586,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2016.0,7-Austin,Physical Neglect,195.0
587,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2016.0,7-Austin,Refusal To Accept Parental Responsibility,13.0
588,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2016.0,7-Austin,Sex Trafficking,2.0
589,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2016.0,7-Austin,Sexual Abuse,258.0
590,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2015.0,7-Austin,Abandonment,1.0
591,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2015.0,7-Austin,Emotional Abuse,44.0
592,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2015.0,7-Austin,Medical Neglect,112.0
593,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2015.0,7-Austin,Neglectful Supervision,1143.0
594,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2015.0,7-Austin,Physical Abuse,481.0
595,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2015.0,7-Austin,Physical Neglect,218.0
596,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2015.0,7-Austin,Refusal To Accept Parental Responsibility,8.0
597,Brazos,"93,580",11.0%,4.8%,7.9%,10.2%,10.7%,14.1%,11.3%,14.4%,7.8%,7.9%,"60,393","84,794",41.5%,(X),(X),2015.0,7-Austin,Sexual Abuse,332.0
