Fiscal Year,County,Region,Type of Allegation,Allegation Count
2020,Cherokee,4-Tyler,Neglectful Supervision,510
2020,Cherokee,4-Tyler,Physical Abuse,176
2020,Cherokee,4-Tyler,Physical Neglect,65
2020,Cherokee,4-Tyler,Refusal To Accept Parental Responsibility,6
2020,Cherokee,4-Tyler,Sex Trafficking,3
2020,Cherokee,4-Tyler,Sexual Abuse,170
2020,Delta,4-Tyler,Emotional Abuse,2
2020,Delta,4-Tyler,Medical Neglect,1
2020,Delta,4-Tyler,Neglectful Supervision,42
2020,Delta,4-Tyler,Physical Abuse,8
2020,Delta,4-Tyler,Physical Neglect,9
2020,Delta,4-Tyler,Sexual Abuse,8
2020,Franklin,4-Tyler,Emotional Abuse,5
2020,Franklin,4-Tyler,Medical Neglect,7
2020,Franklin,4-Tyler,Neglectful Supervision,75
2020,Franklin,4-Tyler,Physical Abuse,30
2020,Franklin,4-Tyler,Physical Neglect,8
2020,Franklin,4-Tyler,Sexual Abuse,13
2020,Gregg,4-Tyler,Abandonment,4
2020,Gregg,4-Tyler,Emotional Abuse,23
2020,Gregg,4-Tyler,Medical Neglect,65
2020,Gregg,4-Tyler,Neglectful Supervision,1073
2020,Gregg,4-Tyler,Physical Abuse,353
2020,Gregg,4-Tyler,Physical Neglect,180
2020,Gregg,4-Tyler,Refusal To Accept Parental Responsibility,15
2020,Gregg,4-Tyler,Sex Trafficking,3
2020,Gregg,4-Tyler,Sexual Abuse,249
2020,Harrison,4-Tyler,Emotional Abuse,10
2020,Harrison,4-Tyler,Medical Neglect,26
2020,Harrison,4-Tyler,Neglectful Supervision,427
2020,Harrison,4-Tyler,Physical Abuse,150
2020,Harrison,4-Tyler,Physical Neglect,86
2020,Harrison,4-Tyler,Refusal To Accept Parental Responsibility,4
2020,Harrison,4-Tyler,Sex Trafficking,2
2020,Harrison,4-Tyler,Sexual Abuse,118
2020,Henderson,4-Tyler,Abandonment,2
2020,Henderson,4-Tyler,Emotional Abuse,18
2020,Henderson,4-Tyler,Medical Neglect,40
2020,Henderson,4-Tyler,Neglectful Supervision,666
2020,Henderson,4-Tyler,Physical Abuse,207
2020,Henderson,4-Tyler,Physical Neglect,106
2020,Henderson,4-Tyler,Refusal To Accept Parental Responsibility,6
2020,Henderson,4-Tyler,Sexual Abuse,146
2020,Hopkins,4-Tyler,Emotional Abuse,8
2020,Hopkins,4-Tyler,Medical Neglect,17
2020,Hopkins,4-Tyler,Neglectful Supervision,226
2020,Hopkins,4-Tyler,Physical Abuse,84
2020,Hopkins,4-Tyler,Physical Neglect,60
2020,Hopkins,4-Tyler,Refusal To Accept Parental Responsibility,8
2020,Hopkins,4-Tyler,Sex Trafficking,1
2020,Hopkins,4-Tyler,Sexual Abuse,87
2020,Lamar,4-Tyler,Abandonment,1
2020,Lamar,4-Tyler,Emotional Abuse,15
2020,Lamar,4-Tyler,Medical Neglect,27
2020,Lamar,4-Tyler,Neglectful Supervision,506
2020,Lamar,4-Tyler,Physical Abuse,151
2020,Lamar,4-Tyler,Physical Neglect,71
2020,Lamar,4-Tyler,Refusal To Accept Parental Responsibility,5
2020,Lamar,4-Tyler,Sex Trafficking,3
2020,Lamar,4-Tyler,Sexual Abuse,136
2020,Marion,4-Tyler,Emotional Abuse,2
2020,Marion,4-Tyler,Medical Neglect,7
2020,Marion,4-Tyler,Neglectful Supervision,90
2020,Marion,4-Tyler,Physical Abuse,29
2020,Marion,4-Tyler,Physical Neglect,28
2020,Marion,4-Tyler,Refusal To Accept Parental Responsibility,1
2020,Marion,4-Tyler,Sexual Abuse,21
2020,Morris,4-Tyler,Emotional Abuse,10
2020,Morris,4-Tyler,Medical Neglect,7
2020,Morris,4-Tyler,Neglectful Supervision,130
2020,Morris,4-Tyler,Physical Abuse,39
2020,Morris,4-Tyler,Physical Neglect,19
2020,Morris,4-Tyler,Refusal To Accept Parental Responsibility,1
2020,Morris,4-Tyler,Sexual Abuse,58
2020,Panola,4-Tyler,Emotional Abuse,4
2020,Panola,4-Tyler,Medical Neglect,16
2020,Panola,4-Tyler,Neglectful Supervision,149
2020,Panola,4-Tyler,Physical Abuse,51
2020,Panola,4-Tyler,Physical Neglect,27
2020,Panola,4-Tyler,Refusal To Accept Parental Responsibility,3
2020,Panola,4-Tyler,Sex Trafficking,1
2020,Panola,4-Tyler,Sexual Abuse,41
2020,Rains,4-Tyler,Emotional Abuse,7
2020,Rains,4-Tyler,Medical Neglect,8
2020,Rains,4-Tyler,Neglectful Supervision,66
2020,Rains,4-Tyler,Physical Abuse,18
2020,Rains,4-Tyler,Physical Neglect,8
2020,Rains,4-Tyler,Sexual Abuse,22
2020,Red River,4-Tyler,Emotional Abuse,3
2020,Red River,4-Tyler,Medical Neglect,6
2020,Red River,4-Tyler,Neglectful Supervision,127
2020,Red River,4-Tyler,Physical Abuse,31
2020,Red River,4-Tyler,Physical Neglect,24
2020,Red River,4-Tyler,Refusal To Accept Parental Responsibility,1
2020,Red River,4-Tyler,Sexual Abuse,20
2020,Rusk,4-Tyler,Emotional Abuse,8
2020,Rusk,4-Tyler,Medical Neglect,22
2020,Rusk,4-Tyler,Neglectful Supervision,371
2020,Rusk,4-Tyler,Physical Abuse,121
2020,Rusk,4-Tyler,Physical Neglect,51
2020,Rusk,4-Tyler,Refusal To Accept Parental Responsibility,5
2020,Rusk,4-Tyler,Sexual Abuse,92
2020,Smith,4-Tyler,Abandonment,2
2020,Smith,4-Tyler,Emotional Abuse,54
2020,Smith,4-Tyler,Medical Neglect,78
2020,Smith,4-Tyler,Neglectful Supervision,1451
2020,Smith,4-Tyler,Physical Abuse,492
2020,Smith,4-Tyler,Physical Neglect,194
2020,Smith,4-Tyler,Refusal To Accept Parental Responsibility,20
2020,Smith,4-Tyler,Sex Trafficking,3
2020,Smith,4-Tyler,Sexual Abuse,481
2020,Titus,4-Tyler,Emotional Abuse,6
2020,Titus,4-Tyler,Medical Neglect,13
2020,Titus,4-Tyler,Neglectful Supervision,227
2020,Titus,4-Tyler,Physical Abuse,65
2020,Titus,4-Tyler,Physical Neglect,26
2020,Titus,4-Tyler,Refusal To Accept Parental Responsibility,2
2020,Titus,4-Tyler,Sexual Abuse,60
2020,Upshur,4-Tyler,Emotional Abuse,9
2020,Upshur,4-Tyler,Medical Neglect,21
2020,Upshur,4-Tyler,Neglectful Supervision,241
2020,Upshur,4-Tyler,Physical Abuse,95
2020,Upshur,4-Tyler,Physical Neglect,48
2020,Upshur,4-Tyler,Refusal To Accept Parental Responsibility,4
2020,Upshur,4-Tyler,Sex Trafficking,2
2020,Upshur,4-Tyler,Sexual Abuse,94
2020,Van Zandt,4-Tyler,Emotional Abuse,13
2020,Van Zandt,4-Tyler,Labor Trafficking,1
2020,Van Zandt,4-Tyler,Medical Neglect,25
2020,Van Zandt,4-Tyler,Neglectful Supervision,414
2020,Van Zandt,4-Tyler,Physical Abuse,130
2020,Van Zandt,4-Tyler,Physical Neglect,61
2020,Van Zandt,4-Tyler,Refusal To Accept Parental Responsibility,7
2020,Van Zandt,4-Tyler,Sexual Abuse,140
2020,Wood,4-Tyler,Emotional Abuse,8
2020,Wood,4-Tyler,Medical Neglect,16
2020,Wood,4-Tyler,Neglectful Supervision,252
2020,Wood,4-Tyler,Physical Abuse,78
2020,Wood,4-Tyler,Physical Neglect,47
2020,Wood,4-Tyler,Refusal To Accept Parental Responsibility,3
2020,Wood,4-Tyler,Sex Trafficking,4
2020,Wood,4-Tyler,Sexual Abuse,105
2020,Angelina,5-Beaumont,Emotional Abuse,22
2020,Angelina,5-Beaumont,Medical Neglect,38
2020,Angelina,5-Beaumont,Neglectful Supervision,736
2020,Angelina,5-Beaumont,Physical Abuse,239
2020,Angelina,5-Beaumont,Physical Neglect,138
2020,Angelina,5-Beaumont,Refusal To Accept Parental Responsibility,2
2020,Angelina,5-Beaumont,Sex Trafficking,2
2020,Angelina,5-Beaumont,Sexual Abuse,259
2020,Hardin,5-Beaumont,Abandonment,3
2020,Hardin,5-Beaumont,Emotional Abuse,26
2020,Hardin,5-Beaumont,Medical Neglect,30
2020,Hardin,5-Beaumont,Neglectful Supervision,336
2020,Hardin,5-Beaumont,Physical Abuse,131
2020,Hardin,5-Beaumont,Physical Neglect,66
2020,Hardin,5-Beaumont,Refusal To Accept Parental Responsibility,3
2020,Hardin,5-Beaumont,Sex Trafficking,1
2020,Hardin,5-Beaumont,Sexual Abuse,95
2020,Houston,5-Beaumont,Abandonment,1
2020,Houston,5-Beaumont,Emotional Abuse,2
2020,Houston,5-Beaumont,Medical Neglect,13
2020,Houston,5-Beaumont,Neglectful Supervision,130
2020,Houston,5-Beaumont,Physical Abuse,37
2020,Houston,5-Beaumont,Physical Neglect,17
2020,Houston,5-Beaumont,Refusal To Accept Parental Responsibility,3
2020,Houston,5-Beaumont,Sexual Abuse,41
2020,Jasper,5-Beaumont,Emotional Abuse,3
2020,Jasper,5-Beaumont,Medical Neglect,19
2020,Jasper,5-Beaumont,Neglectful Supervision,189
2020,Jasper,5-Beaumont,Physical Abuse,60
2020,Jasper,5-Beaumont,Physical Neglect,52
2020,Jasper,5-Beaumont,Refusal To Accept Parental Responsibility,3
2020,Jasper,5-Beaumont,Sex Trafficking,2
2020,Jasper,5-Beaumont,Sexual Abuse,66
2020,Jefferson,5-Beaumont,Abandonment,4
2020,Jefferson,5-Beaumont,Emotional Abuse,56
2020,Jefferson,5-Beaumont,Labor Trafficking,3
2020,Jefferson,5-Beaumont,Medical Neglect,111
2020,Jefferson,5-Beaumont,Neglectful Supervision,1673
2020,Jefferson,5-Beaumont,Physical Abuse,482
2020,Jefferson,5-Beaumont,Physical Neglect,253
2020,Jefferson,5-Beaumont,Refusal To Accept Parental Responsibility,17
2020,Jefferson,5-Beaumont,Sex Trafficking,4
2020,Jefferson,5-Beaumont,Sexual Abuse,400
2020,Nacogdoches,5-Beaumont,Emotional Abuse,14
2020,Nacogdoches,5-Beaumont,Medical Neglect,27
2020,Nacogdoches,5-Beaumont,Neglectful Supervision,409
2020,Nacogdoches,5-Beaumont,Physical Abuse,154
2020,Nacogdoches,5-Beaumont,Physical Neglect,84
2020,Nacogdoches,5-Beaumont,Refusal To Accept Parental Responsibility,3
2020,Nacogdoches,5-Beaumont,Sex Trafficking,3
2020,Nacogdoches,5-Beaumont,Sexual Abuse,119
2020,Newton,5-Beaumont,Emotional Abuse,1
2020,Newton,5-Beaumont,Medical Neglect,5
2020,Newton,5-Beaumont,Neglectful Supervision,64
2020,Newton,5-Beaumont,Physical Abuse,17
2020,Newton,5-Beaumont,Physical Neglect,14
2020,Newton,5-Beaumont,Sexual Abuse,32
2020,Orange,5-Beaumont,Emotional Abuse,18
2020,Orange,5-Beaumont,Labor Trafficking,3
2020,Orange,5-Beaumont,Medical Neglect,49
2020,Orange,5-Beaumont,Neglectful Supervision,777
2020,Orange,5-Beaumont,Physical Abuse,223
2020,Orange,5-Beaumont,Physical Neglect,186
2020,Orange,5-Beaumont,Refusal To Accept Parental Responsibility,4
2020,Orange,5-Beaumont,Sex Trafficking,1
2020,Orange,5-Beaumont,Sexual Abuse,170
2020,Polk,5-Beaumont,Abandonment,1
2020,Polk,5-Beaumont,Emotional Abuse,10
2020,Polk,5-Beaumont,Medical Neglect,21
2020,Polk,5-Beaumont,Neglectful Supervision,385
2020,Polk,5-Beaumont,Physical Abuse,123
2020,Polk,5-Beaumont,Physical Neglect,110
2020,Polk,5-Beaumont,Refusal To Accept Parental Responsibility,1
2020,Polk,5-Beaumont,Sexual Abuse,155
2020,Sabine,5-Beaumont,Emotional Abuse,5
2020,Sabine,5-Beaumont,Medical Neglect,2
2020,Sabine,5-Beaumont,Neglectful Supervision,57
2020,Sabine,5-Beaumont,Physical Abuse,21
2020,Sabine,5-Beaumont,Physical Neglect,18
2020,Sabine,5-Beaumont,Refusal To Accept Parental Responsibility,1
2020,Sabine,5-Beaumont,Sex Trafficking,1
2020,Sabine,5-Beaumont,Sexual Abuse,12
2020,San Augustine,5-Beaumont,Emotional Abuse,1
2020,San Augustine,5-Beaumont,Medical Neglect,6
2020,San Augustine,5-Beaumont,Neglectful Supervision,63
2020,San Augustine,5-Beaumont,Physical Abuse,18
2020,San Augustine,5-Beaumont,Physical Neglect,18
2020,San Augustine,5-Beaumont,Refusal To Accept Parental Responsibility,1
2020,San Augustine,5-Beaumont,Sexual Abuse,15
2020,San Jacinto,5-Beaumont,Emotional Abuse,9
2020,San Jacinto,5-Beaumont,Medical Neglect,16
2020,San Jacinto,5-Beaumont,Neglectful Supervision,243
2020,San Jacinto,5-Beaumont,Physical Abuse,70
2020,San Jacinto,5-Beaumont,Physical Neglect,55
2020,San Jacinto,5-Beaumont,Sexual Abuse,95
2020,Shelby,5-Beaumont,Emotional Abuse,5
2020,Shelby,5-Beaumont,Medical Neglect,9
2020,Shelby,5-Beaumont,Neglectful Supervision,157
2020,Shelby,5-Beaumont,Physical Abuse,52
2020,Shelby,5-Beaumont,Physical Neglect,23
2020,Shelby,5-Beaumont,Refusal To Accept Parental Responsibility,5
2020,Shelby,5-Beaumont,Sex Trafficking,3
2020,Shelby,5-Beaumont,Sexual Abuse,72
2020,Trinity,5-Beaumont,Abandonment,1
2020,Trinity,5-Beaumont,Emotional Abuse,5
2020,Trinity,5-Beaumont,Medical Neglect,1
2020,Trinity,5-Beaumont,Neglectful Supervision,128
2020,Trinity,5-Beaumont,Physical Abuse,30
2020,Trinity,5-Beaumont,Physical Neglect,32
2020,Trinity,5-Beaumont,Refusal To Accept Parental Responsibility,2
2020,Trinity,5-Beaumont,Sexual Abuse,33
2020,Tyler,5-Beaumont,Abandonment,1
2020,Tyler,5-Beaumont,Emotional Abuse,2
2020,Tyler,5-Beaumont,Medical Neglect,7
2020,Tyler,5-Beaumont,Neglectful Supervision,141
2020,Tyler,5-Beaumont,Physical Abuse,28
2020,Tyler,5-Beaumont,Physical Neglect,28
2020,Tyler,5-Beaumont,Refusal To Accept Parental Responsibility,2
2020,Tyler,5-Beaumont,Sexual Abuse,40
2020,Austin,6-Houston,Emotional Abuse,5
2020,Austin,6-Houston,Medical Neglect,4
2020,Austin,6-Houston,Neglectful Supervision,133
2020,Austin,6-Houston,Physical Abuse,44
2020,Austin,6-Houston,Physical Neglect,27
2020,Austin,6-Houston,Sexual Abuse,44
2020,Brazoria,6-Houston,Abandonment,2
2020,Brazoria,6-Houston,Emotional Abuse,72
2020,Brazoria,6-Houston,Medical Neglect,127
2020,Brazoria,6-Houston,Neglectful Supervision,1586
2020,Brazoria,6-Houston,Physical Abuse,525
2020,Brazoria,6-Houston,Physical Neglect,179
2020,Brazoria,6-Houston,Refusal To Accept Parental Responsibility,13
2020,Brazoria,6-Houston,Sex Trafficking,4
2020,Brazoria,6-Houston,Sexual Abuse,563
2020,Chambers,6-Houston,Emotional Abuse,9
2020,Chambers,6-Houston,Medical Neglect,16
2020,Chambers,6-Houston,Neglectful Supervision,189
2020,Chambers,6-Houston,Physical Abuse,73
2020,Chambers,6-Houston,Physical Neglect,32
2020,Chambers,6-Houston,Refusal To Accept Parental Responsibility,2
2020,Chambers,6-Houston,Sex Trafficking,1
2020,Chambers,6-Houston,Sexual Abuse,49
2020,Colorado,6-Houston,Medical Neglect,7
2020,Colorado,6-Houston,Neglectful Supervision,93
2020,Colorado,6-Houston,Physical Abuse,34
2020,Colorado,6-Houston,Physical Neglect,11
2020,Colorado,6-Houston,Refusal To Accept Parental Responsibility,1
2020,Colorado,6-Houston,Sexual Abuse,29
2020,Fort Bend,6-Houston,Abandonment,1
2020,Fort Bend,6-Houston,Emotional Abuse,140
2020,Fort Bend,6-Houston,Labor Trafficking,1
2020,Fort Bend,6-Houston,Medical Neglect,194
2020,Fort Bend,6-Houston,Neglectful Supervision,2000
2020,Fort Bend,6-Houston,Physical Abuse,878
2020,Fort Bend,6-Houston,Physical Neglect,199
2020,Fort Bend,6-Houston,Refusal To Accept Parental Responsibility,20
2020,Fort Bend,6-Houston,Sex Trafficking,13
2020,Fort Bend,6-Houston,Sexual Abuse,669
2020,Galveston,6-Houston,Abandonment,3
2020,Galveston,6-Houston,Emotional Abuse,72
2020,Galveston,6-Houston,Labor Trafficking,1
2020,Galveston,6-Houston,Medical Neglect,137
2020,Galveston,6-Houston,Neglectful Supervision,1794
2020,Galveston,6-Houston,Physical Abuse,639
2020,Galveston,6-Houston,Physical Neglect,280
2020,Galveston,6-Houston,Refusal To Accept Parental Responsibility,17
2020,Galveston,6-Houston,Sex Trafficking,10
2020,Galveston,6-Houston,Sexual Abuse,535
2020,Harris,6-Houston,Abandonment,108
2020,Harris,6-Houston,Emotional Abuse,1507
2020,Harris,6-Houston,Labor Trafficking,29
2020,Harris,6-Houston,Medical Neglect,2422
2020,Harris,6-Houston,Neglectful Supervision,24363
2020,Harris,6-Houston,Physical Abuse,10037
2020,Harris,6-Houston,Physical Neglect,3040
2020,Harris,6-Houston,Refusal To Accept Parental Responsibility,409
2020,Harris,6-Houston,Sex Trafficking,133
2020,Harris,6-Houston,Sexual Abuse,7231
2020,Liberty,6-Houston,Emotional Abuse,29
2020,Liberty,6-Houston,Medical Neglect,48
2020,Liberty,6-Houston,Neglectful Supervision,557
2020,Liberty,6-Houston,Physical Abuse,192
2020,Liberty,6-Houston,Physical Neglect,91
2020,Liberty,6-Houston,Refusal To Accept Parental Responsibility,10
2020,Liberty,6-Houston,Sex Trafficking,1
2020,Liberty,6-Houston,Sexual Abuse,179
2020,Matagorda,6-Houston,Emotional Abuse,13
2020,Matagorda,6-Houston,Medical Neglect,18
2020,Matagorda,6-Houston,Neglectful Supervision,300
2020,Matagorda,6-Houston,Physical Abuse,86
2020,Matagorda,6-Houston,Physical Neglect,28
2020,Matagorda,6-Houston,Refusal To Accept Parental Responsibility,3
2020,Matagorda,6-Houston,Sexual Abuse,99
2020,Montgomery,6-Houston,Abandonment,8
2020,Montgomery,6-Houston,Emotional Abuse,154
2020,Montgomery,6-Houston,Medical Neglect,275
2020,Montgomery,6-Houston,Neglectful Supervision,2662
2020,Montgomery,6-Houston,Physical Abuse,944
2020,Montgomery,6-Houston,Physical Neglect,403
2020,Montgomery,6-Houston,Refusal To Accept Parental Responsibility,27
2020,Montgomery,6-Houston,Sex Trafficking,7
2020,Montgomery,6-Houston,Sexual Abuse,964
2020,Walker,6-Houston,Emotional Abuse,26
2020,Walker,6-Houston,Medical Neglect,29
2020,Walker,6-Houston,Neglectful Supervision,291
2020,Walker,6-Houston,Physical Abuse,109
2020,Walker,6-Houston,Physical Neglect,44
2020,Walker,6-Houston,Refusal To Accept Parental Responsibility,4
2020,Walker,6-Houston,Sex Trafficking,3
2020,Walker,6-Houston,Sexual Abuse,125
2020,Waller,6-Houston,Emotional Abuse,8
2020,Waller,6-Houston,Medical Neglect,21
2020,Waller,6-Houston,Neglectful Supervision,167
2020,Waller,6-Houston,Physical Abuse,69
2020,Waller,6-Houston,Physical Neglect,30
2020,Waller,6-Houston,Refusal To Accept Parental Responsibility,1
2020,Waller,6-Houston,Sex Trafficking,2
2020,Waller,6-Houston,Sexual Abuse,66
2020,Wharton,6-Houston,Abandonment,1
2020,Wharton,6-Houston,Emotional Abuse,12
2020,Wharton,6-Houston,Medical Neglect,17
2020,Wharton,6-Houston,Neglectful Supervision,262
2020,Wharton,6-Houston,Physical Abuse,87
2020,Wharton,6-Houston,Physical Neglect,51
2020,Wharton,6-Houston,Refusal To Accept Parental Responsibility,2
2020,Wharton,6-Houston,Sex Trafficking,2
2020,Wharton,6-Houston,Sexual Abuse,90
2020,Bastrop,7-Austin,Abandonment,1
2020,Bastrop,7-Austin,Emotional Abuse,29
2020,Bastrop,7-Austin,Labor Trafficking,1
2020,Bastrop,7-Austin,Medical Neglect,47
2020,Bastrop,7-Austin,Neglectful Supervision,720
2020,Bastrop,7-Austin,Physical Abuse,231
2020,Bastrop,7-Austin,Physical Neglect,71
2020,Bastrop,7-Austin,Refusal To Accept Parental Responsibility,13
2020,Bastrop,7-Austin,Sexual Abuse,205
2020,Bell,7-Austin,Abandonment,12
2020,Bell,7-Austin,Emotional Abuse,121
2020,Bell,7-Austin,Medical Neglect,243
2020,Bell,7-Austin,Neglectful Supervision,3612
2020,Bell,7-Austin,Physical Abuse,1100
2020,Bell,7-Austin,Physical Neglect,512
2020,Bell,7-Austin,Refusal To Accept Parental Responsibility,48
2020,Bell,7-Austin,Sex Trafficking,3
2020,Bell,7-Austin,Sexual Abuse,827
2020,Blanco,7-Austin,Emotional Abuse,2
2020,Blanco,7-Austin,Medical Neglect,5
2020,Blanco,7-Austin,Neglectful Supervision,36
2020,Blanco,7-Austin,Physical Abuse,17
2020,Blanco,7-Austin,Physical Neglect,8
2020,Blanco,7-Austin,Sexual Abuse,12
2020,Bosque,7-Austin,Emotional Abuse,7
2020,Bosque,7-Austin,Medical Neglect,11
2020,Bosque,7-Austin,Neglectful Supervision,180
2020,Bosque,7-Austin,Physical Abuse,57
2020,Bosque,7-Austin,Physical Neglect,29
2020,Bosque,7-Austin,Refusal To Accept Parental Responsibility,1
2020,Bosque,7-Austin,Sexual Abuse,43
2020,Brazos,7-Austin,Abandonment,7
2020,Brazos,7-Austin,Emotional Abuse,36
2020,Brazos,7-Austin,Medical Neglect,46
2020,Brazos,7-Austin,Neglectful Supervision,1086
2020,Brazos,7-Austin,Physical Abuse,292
2020,Brazos,7-Austin,Physical Neglect,120
2020,Brazos,7-Austin,Refusal To Accept Parental Responsibility,18
2020,Brazos,7-Austin,Sex Trafficking,2
2020,Brazos,7-Austin,Sexual Abuse,260
2020,Burleson,7-Austin,Emotional Abuse,2
2020,Burleson,7-Austin,Medical Neglect,6
2020,Burleson,7-Austin,Neglectful Supervision,100
2020,Burleson,7-Austin,Physical Abuse,47
2020,Burleson,7-Austin,Physical Neglect,17
2020,Burleson,7-Austin,Refusal To Accept Parental Responsibility,2
2020,Burleson,7-Austin,Sexual Abuse,39
2020,Burnet,7-Austin,Emotional Abuse,15
2020,Burnet,7-Austin,Medical Neglect,29
2020,Burnet,7-Austin,Neglectful Supervision,371
2020,Burnet,7-Austin,Physical Abuse,126
2020,Burnet,7-Austin,Physical Neglect,29
2020,Burnet,7-Austin,Refusal To Accept Parental Responsibility,6
2020,Burnet,7-Austin,Sex Trafficking,1
2020,Burnet,7-Austin,Sexual Abuse,113
2020,Caldwell,7-Austin,Abandonment,1
2020,Caldwell,7-Austin,Emotional Abuse,26
2020,Caldwell,7-Austin,Medical Neglect,18
2020,Caldwell,7-Austin,Neglectful Supervision,447
2020,Caldwell,7-Austin,Physical Abuse,110
2020,Caldwell,7-Austin,Physical Neglect,33
2020,Caldwell,7-Austin,Refusal To Accept Parental Responsibility,1
2020,Caldwell,7-Austin,Sex Trafficking,2
2020,Caldwell,7-Austin,Sexual Abuse,136
2020,Coryell,7-Austin,Abandonment,3
2020,Coryell,7-Austin,Emotional Abuse,29
2020,Coryell,7-Austin,Medical Neglect,51
2020,Coryell,7-Austin,Neglectful Supervision,848
2020,Coryell,7-Austin,Physical Abuse,249
2020,Coryell,7-Austin,Physical Neglect,147
2020,Coryell,7-Austin,Refusal To Accept Parental Responsibility,6
2020,Coryell,7-Austin,Sex Trafficking,1
2020,Coryell,7-Austin,Sexual Abuse,188
2020,Falls,7-Austin,Emotional Abuse,3
2020,Falls,7-Austin,Medical Neglect,5
2020,Falls,7-Austin,Neglectful Supervision,190
2020,Falls,7-Austin,Physical Abuse,44
2020,Falls,7-Austin,Physical Neglect,36
2020,Falls,7-Austin,Sex Trafficking,2
2020,Falls,7-Austin,Sexual Abuse,43
2020,Fayette,7-Austin,Emotional Abuse,6
2020,Fayette,7-Austin,Medical Neglect,9
2020,Fayette,7-Austin,Neglectful Supervision,133
2020,Fayette,7-Austin,Physical Abuse,34
2020,Fayette,7-Austin,Physical Neglect,15
2020,Fayette,7-Austin,Refusal To Accept Parental Responsibility,1
2020,Fayette,7-Austin,Sexual Abuse,58
2020,Freestone,7-Austin,Abandonment,4
2020,Freestone,7-Austin,Emotional Abuse,5
2020,Freestone,7-Austin,Medical Neglect,4
2020,Freestone,7-Austin,Neglectful Supervision,109
2020,Freestone,7-Austin,Physical Abuse,39
2020,Freestone,7-Austin,Physical Neglect,11
2020,Freestone,7-Austin,Sex Trafficking,1
2020,Freestone,7-Austin,Sexual Abuse,34
2020,Grimes,7-Austin,Emotional Abuse,5
2020,Grimes,7-Austin,Medical Neglect,9
2020,Grimes,7-Austin,Neglectful Supervision,180
2020,Grimes,7-Austin,Physical Abuse,58
2020,Grimes,7-Austin,Physical Neglect,27
2020,Grimes,7-Austin,Refusal To Accept Parental Responsibility,2
2020,Grimes,7-Austin,Sexual Abuse,61
2020,Hamilton,7-Austin,Emotional Abuse,6
2020,Hamilton,7-Austin,Medical Neglect,5
2020,Hamilton,7-Austin,Neglectful Supervision,68
2020,Hamilton,7-Austin,Physical Abuse,16
2020,Hamilton,7-Austin,Physical Neglect,32
2020,Hamilton,7-Austin,Refusal To Accept Parental Responsibility,1
2020,Hamilton,7-Austin,Sexual Abuse,26
2020,Hays,7-Austin,Abandonment,6
2020,Hays,7-Austin,Emotional Abuse,47
2020,Hays,7-Austin,Medical Neglect,64
2020,Hays,7-Austin,Neglectful Supervision,1103
2020,Hays,7-Austin,Physical Abuse,313
2020,Hays,7-Austin,Physical Neglect,117
2020,Hays,7-Austin,Refusal To Accept Parental Responsibility,10
2020,Hays,7-Austin,Sex Trafficking,8
2020,Hays,7-Austin,Sexual Abuse,269
2020,Hill,7-Austin,Abandonment,3
2020,Hill,7-Austin,Emotional Abuse,11
2020,Hill,7-Austin,Medical Neglect,22
2020,Hill,7-Austin,Neglectful Supervision,282
2020,Hill,7-Austin,Physical Abuse,113
2020,Hill,7-Austin,Physical Neglect,36
2020,Hill,7-Austin,Refusal To Accept Parental Responsibility,7
2020,Hill,7-Austin,Sexual Abuse,105
2020,Lampasas,7-Austin,Emotional Abuse,7
2020,Lampasas,7-Austin,Medical Neglect,9
2020,Lampasas,7-Austin,Neglectful Supervision,200
2020,Lampasas,7-Austin,Physical Abuse,54
2020,Lampasas,7-Austin,Physical Neglect,28
2020,Lampasas,7-Austin,Sexual Abuse,45
2020,Lee,7-Austin,Abandonment,1
2020,Lee,7-Austin,Emotional Abuse,3
2020,Lee,7-Austin,Medical Neglect,9
2020,Lee,7-Austin,Neglectful Supervision,115
2020,Lee,7-Austin,Physical Abuse,29
2020,Lee,7-Austin,Physical Neglect,13
2020,Lee,7-Austin,Refusal To Accept Parental Responsibility,2
2020,Lee,7-Austin,Sexual Abuse,46
2020,Leon,7-Austin,Emotional Abuse,2
2020,Leon,7-Austin,Medical Neglect,8
2020,Leon,7-Austin,Neglectful Supervision,66
2020,Leon,7-Austin,Physical Abuse,17
2020,Leon,7-Austin,Physical Neglect,12
2020,Leon,7-Austin,Refusal To Accept Parental Responsibility,1
2020,Leon,7-Austin,Sexual Abuse,4
2020,Limestone,7-Austin,Emotional Abuse,12
2020,Limestone,7-Austin,Labor Trafficking,6
2020,Limestone,7-Austin,Medical Neglect,12
2020,Limestone,7-Austin,Neglectful Supervision,182
2020,Limestone,7-Austin,Physical Abuse,47
2020,Limestone,7-Austin,Physical Neglect,33
2020,Limestone,7-Austin,Refusal To Accept Parental Responsibility,1
2020,Limestone,7-Austin,Sexual Abuse,56
2020,Llano,7-Austin,Emotional Abuse,3
2020,Llano,7-Austin,Medical Neglect,17
2020,Llano,7-Austin,Neglectful Supervision,219
2020,Llano,7-Austin,Physical Abuse,68
2020,Llano,7-Austin,Physical Neglect,38
2020,Llano,7-Austin,Refusal To Accept Parental Responsibility,4
2020,Llano,7-Austin,Sex Trafficking,1
2020,Llano,7-Austin,Sexual Abuse,44
2020,Madison,7-Austin,Abandonment,1
2020,Madison,7-Austin,Emotional Abuse,2
